"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\MyWorks\Basics of Programming\week 6\IsophormicNum.cpp", "C++", 34, 0, 0, 8, 42
"d:\MyWorks\Basics of Programming\week 6\LineEquation.cpp", "C++", 38, 0, 0, 8, 46
"d:\MyWorks\Basics of Programming\week 6\MoneyAndPeaches.cpp", "C++", 25, 0, 0, 4, 29
"d:\MyWorks\Basics of Programming\week 6\ReverseArray.cpp", "C++", 18, 0, 0, 1, 19
"d:\MyWorks\Basics of Programming\week 6\SimilarityWithPtr.cpp", "C++", 37, 0, 5, 16, 58
"d:\MyWorks\Basics of Programming\week 6\TimeMachine.cpp", "C++", 48, 0, 0, 13, 61
"d:\MyWorks\Basics of Programming\week 6\scratches.md", "Markdown", 0, 18, 0, 4, 22
"d:\MyWorks\Basics of Programming\week 6\secondbig.cpp", "C++", 12, 0, 0, 12, 24
"d:\MyWorks\Basics of Programming\week 7\BoomingCircuit.cpp", "C++", 15, 0, 0, 2, 17
"d:\MyWorks\Basics of Programming\week 7\BoomingRecursion.cpp", "C++", 35, 0, 0, 3, 38
"d:\MyWorks\Basics of Programming\week 7\DataRecover.cpp", "C++", 23, 0, 0, 7, 30
"d:\MyWorks\Basics of Programming\week 7\Exponent.cpp", "C++", 34, 0, 3, 6, 43
"d:\MyWorks\Basics of Programming\week 7\FactorGpt.cpp", "C++", 25, 0, 0, 2, 27
"d:\MyWorks\Basics of Programming\week 7\Factors.cpp", "C++", 34, 0, 0, 3, 37
"d:\MyWorks\Basics of Programming\week 7\Huang Shujian.md", "Markdown", 0, 68, 0, 14, 82
"d:\MyWorks\Basics of Programming\week 7\TellEvenAndOdd.cpp", "C++", 13, 0, 0, 3, 16
"d:\MyWorks\Basics of Programming\week 7\Xor.cpp", "C++", 14, 0, 0, 2, 16
"d:\MyWorks\Basics of Programming\week 7\float.cpp", "C++", 10, 0, 0, 2, 12
"d:\MyWorks\Basics of Programming\week 7\syrlen.cpp", "C++", 9, 0, 1, 0, 10
"d:\MyWorks\Basics of Programming\week 8\Caesar.cpp", "C++", 16, 0, 0, 2, 18
"d:\MyWorks\Basics of Programming\week 8\DefineTheOrder.cpp", "C++", 42, 0, 0, 6, 48
"d:\MyWorks\Basics of Programming\week 8\IrtNewton.cpp", "C++", 32, 0, 1, 3, 36
"d:\MyWorks\Basics of Programming\week 8\MajorElement.cpp", "C++", 44, 0, 0, 2, 46
"d:\MyWorks\Basics of Programming\week 8\README.md", "Markdown", 0, 40, 0, 16, 56
"d:\MyWorks\Basics of Programming\week 8\Review.md", "Markdown", 0, 9, 0, 6, 15
"d:\MyWorks\Basics of Programming\week 8\SortFileName.cpp", "C++", 16, 0, 0, 4, 20
"d:\MyWorks\Basics of Programming\week 8\TheKthBig.cpp", "C++", 32, 0, 0, 4, 36
"d:\MyWorks\Basics of Programming\week 8\array.cpp", "C++", 92, 0, 0, 1, 93
"d:\MyWorks\Basics of Programming\week 9\CatCatchMouse.cpp", "C++", 58, 0, 0, 8, 66
"d:\MyWorks\Basics of Programming\week 9\MissingInteger.cpp", "C++", 23, 0, 1, 5, 29
"d:\MyWorks\Basics of Programming\week 9\PresumAndBacksum.cpp", "C++", 26, 0, 11, 6, 43
"d:\MyWorks\Basics of Programming\week 9\QuickSort.cpp", "C++", 59, 0, 0, 15, 74
"d:\MyWorks\Basics of Programming\week 9\README.md", "Markdown", 0, 83, 0, 29, 112
"d:\MyWorks\Basics of Programming\week 9\SaddlePoint.cpp", "C++", 6, 0, 0, 2, 8
"d:\MyWorks\Basics of Programming\week 9\TheMaxCoin.cpp", "C++", 39, 0, 1, 10, 50
"Total", "-", 2879, 316, 303, 629, 4127
